"filename","length_along_fiber_m","temp_C","elevation_WGS84_m","depth_m","slope","file.path.length","channel","year","month","day","hour","minutes","seconds","full.datetime","datetime","subchannel","direction"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1277.1","12.77","274.63","13.03","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1277.35","13.27","274.38","13.28","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1277.6","13.58","274.13","13.53","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1277.86","13.7","273.87","13.79","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1278.11","13.81","273.62","14.04","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1278.37","13.89","273.36","14.3","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1278.62","13.99","273.11","14.55","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1278.88","14.16","272.85","14.81","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1279.13","14.27","272.6","15.06","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1279.38","14.31","272.35","15.31","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
